image,detections_count,summary,raw_image_bytes,full_yolo_json_bytes,structured_json_bytes,annotated_image_bytes,summary_bytes,raw_image_bytes_tx_s_at_9.6_kbps,raw_image_bytes_tx_s_at_100_kbps,raw_image_bytes_tx_s_at_1000_kbps,raw_image_bytes_tx_s_at_10000_kbps,raw_image_bytes_tx_s_at_100000_kbps,full_yolo_json_bytes_tx_s_at_9.6_kbps,full_yolo_json_bytes_tx_s_at_100_kbps,full_yolo_json_bytes_tx_s_at_1000_kbps,full_yolo_json_bytes_tx_s_at_10000_kbps,full_yolo_json_bytes_tx_s_at_100000_kbps,structured_json_bytes_tx_s_at_9.6_kbps,structured_json_bytes_tx_s_at_100_kbps,structured_json_bytes_tx_s_at_1000_kbps,structured_json_bytes_tx_s_at_10000_kbps,structured_json_bytes_tx_s_at_100000_kbps,annotated_image_bytes_tx_s_at_9.6_kbps,annotated_image_bytes_tx_s_at_100_kbps,annotated_image_bytes_tx_s_at_1000_kbps,annotated_image_bytes_tx_s_at_10000_kbps,annotated_image_bytes_tx_s_at_100000_kbps,summary_bytes_tx_s_at_9.6_kbps,summary_bytes_tx_s_at_100_kbps,summary_bytes_tx_s_at_1000_kbps,summary_bytes_tx_s_at_10000_kbps,summary_bytes_tx_s_at_100000_kbps,raw_to_structured_ratio,raw_to_summary_ratio
dataset\sample_100_mix\train__t_10144.jpg,7,"detections=7; classes=A220:2, other-airplane:5; geo_targets=7; total_ms=849.98",251610,152140,2781,112040,78,209.675,20.1288,2.01288,0.201288,0.020129,126.783333,12.1712,1.21712,0.121712,0.012171,2.3175,0.22248,0.022248,0.002225,0.000222,93.366667,8.9632,0.89632,0.089632,0.008963,0.065,0.00624,0.000624,6.2e-05,6e-06,90.474649,3225.769231
dataset\sample_100_mix\train__t_10175.jpg,11,"detections=11; classes=Dry Cargo Ship:2, Fishing Boat:6, Liquid Cargo Ship:2, Tugboat:1; geo_targets=11; total_ms=624.695",100828,66174,4222,46484,121,84.023333,8.06624,0.806624,0.080662,0.008066,55.145,5.29392,0.529392,0.052939,0.005294,3.518333,0.33776,0.033776,0.003378,0.000338,38.736667,3.71872,0.371872,0.037187,0.003719,0.100833,0.00968,0.000968,9.7e-05,1e-05,23.881573,833.289256
dataset\sample_100_mix\train__t_10415.jpg,3,"detections=3; classes=Boeing747:1, Roundabout:2; geo_targets=3; total_ms=626.595",150976,88422,1366,65313,80,125.813333,12.07808,1.207808,0.120781,0.012078,73.685,7.07376,0.707376,0.070738,0.007074,1.138333,0.10928,0.010928,0.001093,0.000109,54.4275,5.22504,0.522504,0.05225,0.005225,0.066667,0.0064,0.00064,6.4e-05,6e-06,110.524158,1887.2
dataset\sample_100_mix\train__t_10432.jpg,23,"detections=23; classes=Baseball Field:1, Dump Truck:3, Small Car:11, Van:8; geo_targets=23; total_ms=642.175",261523,173930,8423,124151,108,217.935833,20.92184,2.092184,0.209218,0.020922,144.941667,13.9144,1.39144,0.139144,0.013914,7.019167,0.67384,0.067384,0.006738,0.000674,103.459167,9.93208,0.993208,0.099321,0.009932,0.09,0.00864,0.000864,8.6e-05,9e-06,31.048676,2421.509259
dataset\sample_100_mix\train__t_10566.jpg,6,"detections=6; classes=A220:1, Basketball Court:2, other-airplane:3; geo_targets=6; total_ms=854.769",410690,254218,2467,188834,99,342.241667,32.8552,3.28552,0.328552,0.032855,211.848333,20.33744,2.033744,0.203374,0.020337,2.055833,0.19736,0.019736,0.001974,0.000197,157.361667,15.10672,1.510672,0.151067,0.015107,0.0825,0.00792,0.000792,7.9e-05,8e-06,166.47345,4148.383838
dataset\sample_100_mix\train__t_10665.jpg,5,"detections=5; classes=A321:1, Boeing737:1, Boeing787:1, other-airplane:2; geo_targets=5; total_ms=845.638",369944,219810,2083,163317,105,308.286667,29.59552,2.959552,0.295955,0.029596,183.175,17.5848,1.75848,0.175848,0.017585,1.735833,0.16664,0.016664,0.001666,0.000167,136.0975,13.06536,1.306536,0.130654,0.013065,0.0875,0.0084,0.00084,8.4e-05,8e-06,177.601536,3523.27619
dataset\sample_100_mix\train__t_10681.jpg,0,detections=0; classes=none; geo_targets=0; total_ms=831.51,133293,40584,308,30228,58,111.0775,10.66344,1.066344,0.106634,0.010663,33.82,3.24672,0.324672,0.032467,0.003247,0.256667,0.02464,0.002464,0.000246,2.5e-05,25.19,2.41824,0.241824,0.024182,0.002418,0.048333,0.00464,0.000464,4.6e-05,5e-06,432.769481,2298.155172
dataset\sample_100_mix\train__t_1070.jpg,57,"detections=57; classes=Football Field:1, Small Car:31, Tennis Court:6, Van:19; geo_targets=57; total_ms=874.314",527781,426677,20354,304762,111,439.8175,42.22248,4.222248,0.422225,0.042222,355.564167,34.13416,3.413416,0.341342,0.034134,16.961667,1.62832,0.162832,0.016283,0.001628,253.968333,24.38096,2.438096,0.24381,0.024381,0.0925,0.00888,0.000888,8.9e-05,9e-06,25.930087,4754.783784
dataset\sample_100_mix\train__t_10882.jpg,4,"detections=4; classes=Basketball Court:1, Boeing747:1, Intersection:1, other-airplane:1; geo_targets=4; total_ms=843.838",440808,266858,1735,198863,120,367.34,35.26464,3.526464,0.352646,0.035265,222.381667,21.34864,2.134864,0.213486,0.021349,1.445833,0.1388,0.01388,0.001388,0.000139,165.719167,15.90904,1.590904,0.15909,0.015909,0.1,0.0096,0.00096,9.6e-05,1e-05,254.068012,3673.4
dataset\sample_100_mix\train__t_11188.jpg,26,"detections=26; classes=Baseball Field:2, Cargo Truck:1, Dump Truck:1, Small Car:12, Van:10; geo_targets=26; total_ms=860.606",430908,301679,9440,219200,124,359.09,34.47264,3.447264,0.344726,0.034473,251.399167,24.13432,2.413432,0.241343,0.024134,7.866667,0.7552,0.07552,0.007552,0.000755,182.666667,17.536,1.7536,0.17536,0.017536,0.103333,0.00992,0.000992,9.9e-05,1e-05,45.647034,3475.064516
dataset\sample_100_mix\train__t_11267.jpg,79,"detections=79; classes=Dump Truck:1, Small Car:42, Tennis Court:1, Van:35; geo_targets=79; total_ms=878.469",485867,403972,28009,281994,107,404.889167,38.86936,3.886936,0.388694,0.038869,336.643333,32.31776,3.231776,0.323178,0.032318,23.340833,2.24072,0.224072,0.022407,0.002241,234.995,22.55952,2.255952,0.225595,0.02256,0.089167,0.00856,0.000856,8.6e-05,9e-06,17.346817,4540.813084
dataset\sample_100_mix\train__t_11457.jpg,1,detections=1; classes=Dry Cargo Ship:1; geo_targets=1; total_ms=856.133,187280,90974,658,67756,71,156.066667,14.9824,1.49824,0.149824,0.014982,75.811667,7.27792,0.727792,0.072779,0.007278,0.548333,0.05264,0.005264,0.000526,5.3e-05,56.463333,5.42048,0.542048,0.054205,0.00542,0.059167,0.00568,0.000568,5.7e-05,6e-06,284.620061,2637.746479
dataset\sample_100_mix\train__t_11927.jpg,17,"detections=17; classes=Cargo Truck:1, Dump Truck:6, Intersection:2, Small Car:3, Van:5; geo_targets=17; total_ms=647.437",295215,200272,6297,145501,120,246.0125,23.6172,2.36172,0.236172,0.023617,166.893333,16.02176,1.602176,0.160218,0.016022,5.2475,0.50376,0.050376,0.005038,0.000504,121.250833,11.64008,1.164008,0.116401,0.01164,0.1,0.0096,0.00096,9.6e-05,1e-05,46.881848,2460.125
dataset\sample_100_mix\train__t_12085.jpg,3,"detections=3; classes=Boeing787:1, Bridge:1, other-airplane:1; geo_targets=3; total_ms=625.816",198894,117865,1362,87398,94,165.745,15.91152,1.591152,0.159115,0.015912,98.220833,9.4292,0.94292,0.094292,0.009429,1.135,0.10896,0.010896,0.00109,0.000109,72.831667,6.99184,0.699184,0.069918,0.006992,0.078333,0.00752,0.000752,7.5e-05,8e-06,146.030837,2115.893617
dataset\sample_100_mix\train__t_12099.jpg,46,"detections=46; classes=Baseball Field:1, Cargo Truck:4, Dump Truck:1, Small Car:21, Van:19; geo_targets=46; total_ms=662.878",235329,189089,16366,129563,124,196.1075,18.82632,1.882632,0.188263,0.018826,157.574167,15.12712,1.512712,0.151271,0.015127,13.638333,1.30928,0.130928,0.013093,0.001309,107.969167,10.36504,1.036504,0.10365,0.010365,0.103333,0.00992,0.000992,9.9e-05,1e-05,14.37914,1897.814516
dataset\sample_100_mix\train__t_12110.jpg,151,"detections=151; classes=Baseball Field:4, Dump Truck:26, Small Car:74, Van:47; geo_targets=151; total_ms=918.66",593805,475435,53068,316797,111,494.8375,47.5044,4.75044,0.475044,0.047504,396.195833,38.0348,3.80348,0.380348,0.038035,44.223333,4.24544,0.424544,0.042454,0.004245,263.9975,25.34376,2.534376,0.253438,0.025344,0.0925,0.00888,0.000888,8.9e-05,9e-06,11.189512,5349.594595
dataset\sample_100_mix\train__t_12376.jpg,69,"detections=69; classes=Dump Truck:5, Intersection:1, Small Car:39, Van:24; geo_targets=69; total_ms=876.826",513292,434794,24323,307873,107,427.743333,41.06336,4.106336,0.410634,0.041063,362.328333,34.78352,3.478352,0.347835,0.034784,20.269167,1.94584,0.194584,0.019458,0.001946,256.560833,24.62984,2.462984,0.246298,0.02463,0.089167,0.00856,0.000856,8.6e-05,9e-06,21.103153,4797.121495
dataset\sample_100_mix\train__t_1273.jpg,9,"detections=9; classes=Engineering Ship:8, Liquid Cargo Ship:1; geo_targets=9; total_ms=905.067",866875,515127,3508,383735,94,722.395833,69.35,6.935,0.6935,0.06935,429.2725,41.21016,4.121016,0.412102,0.04121,2.923333,0.28064,0.028064,0.002806,0.000281,319.779167,30.6988,3.06988,0.306988,0.030699,0.078333,0.00752,0.000752,7.5e-05,8e-06,247.11374,9222.074468
dataset\sample_100_mix\train__t_13027.jpg,16,"detections=16; classes=Boeing737:1, Boeing747:1, other-airplane:14; geo_targets=16; total_ms=842.281",243152,154179,6012,111145,100,202.626667,19.45216,1.945216,0.194522,0.019452,128.4825,12.33432,1.233432,0.123343,0.012334,5.01,0.48096,0.048096,0.00481,0.000481,92.620833,8.8916,0.88916,0.088916,0.008892,0.083333,0.008,0.0008,8e-05,8e-06,40.444444,2431.52
